('mov' 'push' 'mov' 'sub' 'mov')	('push' 'mov' 'sub' 'mov' 'mov')	('mov' 'mov' 'push' 'mov' 'sub')	('nop' 'jmp' 'nop' 'jmp' 'nop')	('jmp' 'nop' 'jmp' 'nop' 'jmp')	binary	optimized
39	59	33	11	9	logname_NGRAMS.txt_-freorder-blocks	0
46	68	40	12	10	dircolors_NGRAMS.txt_-freorder-blocks	0
39	59	33	11	9	whoami_NGRAMS.txt_-freorder-blocks	0
57	110	48	15	13	chmod_NGRAMS.txt_-freorder-blocks	0
63	93	55	13	11	mkdir_NGRAMS.txt_-freorder-blocks	0
40	58	34	11	9	false_NGRAMS.txt_-freorder-blocks	0
58	84	50	11	9	id_NGRAMS.txt_-freorder-blocks	0
46	73	38	11	9	md5sum_NGRAMS.txt_-freorder-blocks	0
56	79	48	13	11	mknod_NGRAMS.txt_-freorder-blocks	0
97	180	63	78	72	nl_NGRAMS.txt_-freorder-blocks	0
54	73	48	11	9	runcon_NGRAMS.txt_-freorder-blocks	0
41	62	34	11	9	kill_NGRAMS.txt_-freorder-blocks	0
39	59	33	11	9	link_NGRAMS.txt_-freorder-blocks	0
41	62	34	11	9	rmdir_NGRAMS.txt_-freorder-blocks	0
112	267	79	12	10	factor_NGRAMS.txt_-freorder-blocks	0
46	81	38	17	15	stty_NGRAMS.txt_-freorder-blocks	0
104	195	69	78	72	csplit_NGRAMS.txt_-freorder-blocks	0
49	93	41	12	10	realpath_NGRAMS.txt_-freorder-blocks	0
53	102	41	12	11	tail_NGRAMS.txt_-freorder-blocks	0
162	360	107	78	72	expr_NGRAMS.txt_-freorder-blocks	0
41	67	34	13	10	test_NGRAMS.txt_-freorder-blocks	0
168	273	146	50	48	dir_NGRAMS.txt_-freorder-blocks	0
39	60	32	11	9	truncate_NGRAMS.txt_-fexpensive-optimizations	0
47	91	39	12	10	readlink_NGRAMS.txt_-fexpensive-optimizations	0
39	59	32	11	9	nice_NGRAMS.txt_-fexpensive-optimizations	0
41	66	34	11	9	timeout_NGRAMS.txt_-fexpensive-optimizations	0
99	186	83	16	13	cp_NGRAMS.txt_-fexpensive-optimizations	0
44	65	38	11	9	nohup_NGRAMS.txt_-fexpensive-optimizations	0
41	62	34	11	9	groups_NGRAMS.txt_-fexpensive-optimizations	0
54	92	40	76	73	touch_NGRAMS.txt_-fexpensive-optimizations	0
77	132	63	51	49	stat_NGRAMS.txt_-fexpensive-optimizations	0
43	66	36	11	9	pwd_NGRAMS.txt_-fexpensive-optimizations	0
